"","level","No sleep disturbance (score<2)","Sleep disturbance (score>=2)","p","test"
"n","","6.1e+07","2e+07","",""
"age (mean (SD))","","50.60 (16.26)","52.13 (15.36)","0.004",""
"DII (median [IQR])","","1.07 [-0.54, 2.26]","1.48 [-0.17, 2.67]","<0.001","nonnorm"
"sleep_score (median [IQR])","","0.00 [0.00, 1.00]","2.00 [2.00, 3.00]","<0.001","nonnorm"
"parity (median [IQR])","","3.00 [2.00, 4.00]","3.00 [2.00, 4.00]","0.002","nonnorm"
"bmi (mean (SD))","","28.86 (7.00)","31.92 (8.40)","<0.001",""
"sbp (mean (SD))","","120.82 (18.44)","124.03 (18.97)","<0.001",""
"dbp (mean (SD))","","69.45 (11.09)","71.29 (11.34)","<0.001",""
"fbg (median [IQR])","","98.00 [92.00, 107.00]","101.00 [95.00, 113.00]","<0.001","nonnorm"
"hba1c (median [IQR])","","5.50 [5.20, 5.80]","5.60 [5.30, 5.90]","<0.001","nonnorm"
"homa_ir (median [IQR])","","2.28 [1.39, 3.91]","2.79 [1.65, 5.10]","<0.001","nonnorm"
"ldl (median [IQR])","","113.00 [92.00, 139.00]","115.00 [89.00, 140.00]","0.813","nonnorm"
"hdl (median [IQR])","","57.00 [47.00, 69.00]","54.00 [45.00, 66.00]","<0.001","nonnorm"
"tc (median [IQR])","","197.00 [172.00, 224.00]","197.00 [170.00, 224.00]","0.973","nonnorm"
"tg (median [IQR])","","98.00 [67.00, 146.00]","106.00 [75.00, 153.00]","0.003","nonnorm"
"age_group (%)","20-39","2e+07 (28.4)","5e+06 (22.5)","0.002",""
"","40-59","2e+07 (40.6)","9e+06 (44.9)","",""
"",">=60","2e+07 (31.0)","7e+06 (32.6)","",""
"race (%)","Non-Hispanic White","4e+07 (67.5)","1e+07 (70.3)","0.049",""
"","Non-Hispanic Black","7e+06 (11.6)","2e+06 (12.0)","",""
"","Mexican American","5e+06 (8.4)","1e+06 (6.4)","",""
"","Other Hispanic","3e+06 (5.4)","1e+06 (5.5)","",""
"","Other Race","4e+06 (7.0)","1e+06 (5.9)","",""
"education (%)","Less than HS","1e+07 (15.6)","3e+06 (16.7)","<0.001",""
"","High school","1e+07 (22.1)","6e+06 (28.5)","",""
"","College or above","4e+07 (62.2)","1e+07 (54.8)","",""
"marital (%)","Married or partnered","4e+07 (66.8)","1e+07 (57.6)","<0.001",""
"","Not married","2e+07 (33.2)","9e+06 (42.4)","",""
"pir_group (%)","<=1.3","1e+07 (22.7)","6e+06 (29.3)","<0.001",""
"","1.3-3.5","2e+07 (34.9)","8e+06 (37.7)","",""
"",">3.5","3e+07 (42.3)","7e+06 (33.0)","",""
"bmi_cat (%)","<25","2e+07 (32.6)","4e+06 (19.7)","<0.001",""
"","25-29.9","2e+07 (30.6)","5e+06 (27.0)","",""
"",">=30","2e+07 (36.8)","1e+07 (53.3)","",""
"smoke_status (%)","Never","4e+07 (62.1)","1e+07 (49.2)","<0.001",""
"","Ever","2e+07 (37.9)","1e+07 (50.8)","",""
"alcohol_any (%)","No","2e+07 (27.8)","5e+06 (25.5)","0.141",""
"","Yes","4e+07 (72.2)","2e+07 (74.5)","",""
"DII_Q (%)","Q1","2e+07 (28.5)","5e+06 (23.6)","<0.001",""
"","Q2","2e+07 (26.3)","5e+06 (23.2)","",""
"","Q3","2e+07 (24.7)","5e+06 (24.9)","",""
"","Q4","1e+07 (20.5)","6e+06 (28.3)","",""
"gdm_history (%)","No","6e+07 (92.0)","2e+07 (90.0)","0.152",""
"","Yes","4e+06 (7.2)","2e+06 (8.7)","",""
"","Borderline","5e+05 (0.8)","3e+05 (1.3)","",""
"diabetes (%)","0","5e+07 (89.2)","2e+07 (79.2)","<0.001",""
"","1","7e+06 (10.8)","4e+06 (20.8)","",""
"hypertension (%)","0","4e+07 (67.8)","1e+07 (52.5)","<0.001",""
"","1","2e+07 (32.2)","1e+07 (47.5)","",""
"cvd_composite (%)","0","6e+07 (93.2)","2e+07 (85.6)","<0.001",""
"","1","4e+06 (6.8)","3e+06 (14.4)","",""
"mort_allcause (%)","0","6e+07 (93.8)","2e+07 (92.6)","0.059",""
"","1","4e+06 (6.2)","1e+06 (7.4)","",""
"mort_cvd (%)","0","6e+07 (98.5)","2e+07 (98.0)","0.121",""
"","1","9e+05 (1.5)","4e+05 (2.0)","",""
