"","level","No","Yes","Borderline","p","test"
"n","","7.5e+07","6,202,514.41","743,069.65","",""
"age (mean (SD))","","51.43 (16.28)","45.86 (12.19)","48.73 (14.07)","<0.001",""
"DII (median [IQR])","","1.19 [-0.42, 2.41]","0.97 [-0.50, 2.24]","1.19 [-0.36, 1.97]","0.342","nonnorm"
"sleep_score (median [IQR])","","1.00 [0.00, 1.00]","1.00 [0.00, 2.00]","1.00 [0.00, 2.00]","0.009","nonnorm"
"bmi (mean (SD))","","29.40 (7.39)","32.20 (8.13)","30.43 (7.63)","<0.001",""
"sbp (mean (SD))","","121.92 (18.80)","118.52 (16.17)","117.88 (16.95)","0.001",""
"dbp (mean (SD))","","69.79 (11.28)","71.12 (10.09)","70.80 (9.59)","0.020",""
"fbg (median [IQR])","","99.00 [92.00, 107.00]","103.00 [95.00, 121.73]","98.05 [93.00, 105.88]","<0.001","nonnorm"
"hba1c (median [IQR])","","5.50 [5.20, 5.80]","5.60 [5.30, 6.20]","5.40 [5.20, 5.80]","<0.001","nonnorm"
"homa_ir (median [IQR])","","2.34 [1.43, 4.05]","3.06 [1.73, 5.32]","2.32 [1.70, 3.97]","0.003","nonnorm"
"ldl (median [IQR])","","113.00 [91.00, 139.00]","118.00 [93.00, 143.00]","113.88 [96.12, 151.57]","0.397","nonnorm"
"hdl (median [IQR])","","57.00 [47.00, 68.00]","51.00 [41.00, 60.00]","52.00 [42.00, 61.56]","<0.001","nonnorm"
"tc (median [IQR])","","197.00 [171.00, 225.00]","193.00 [170.00, 219.00]","198.78 [171.00, 224.90]","0.227","nonnorm"
"tg (median [IQR])","","99.00 [68.00, 147.00]","113.00 [77.00, 162.00]","103.97 [86.00, 133.03]","0.040","nonnorm"
"parity (median [IQR])","","3.00 [2.00, 4.00]","3.00 [2.00, 4.00]","3.00 [2.00, 4.00]","<0.001","nonnorm"
"age_group (%)","20-39","2e+07 (26.4)","2e+06 (32.6)","2e+05 (31.5)","<0.001",""
"","40-59","3e+07 (40.6)","3e+06 (54.1)","4e+05 (50.0)","",""
"",">=60","2e+07 (33.0)","8e+05 (13.3)","1e+05 (18.5)","",""
"race (%)","Non-Hispanic White","5e+07 (68.7)","4e+06 (61.2)","6e+05 (77.7)","<0.001",""
"","Non-Hispanic Black","9e+06 (11.9)","6e+05 (9.7)","5e+04 (6.3)","",""
