"","level","Alive","Death","p","test"
"n","","7.6e+07","5,277,877.40","",""
"age (mean (SD))","","49.70 (15.45)","69.58 (12.73)","<0.001",""
"DII (median [IQR])","","1.14 [-0.48, 2.38]","1.48 [0.28, 2.71]","<0.001","nonnorm"
"sleep_score (median [IQR])","","1.00 [0.00, 1.00]","1.00 [0.00, 2.00]","0.377","nonnorm"
"bmi (mean (SD))","","29.64 (7.45)","29.38 (8.02)","0.467",""
"sbp (mean (SD))","","120.76 (17.93)","134.57 (23.35)","<0.001",""
"dbp (mean (SD))","","70.20 (10.93)","65.40 (13.68)","<0.001",""
"fbg (median [IQR])","","99.00 [92.00, 107.00]","105.00 [95.72, 122.00]","<0.001","nonnorm"
"hba1c (median [IQR])","","5.50 [5.20, 5.80]","5.80 [5.50, 6.30]","<0.001","nonnorm"
"homa_ir (median [IQR])","","2.34 [1.43, 4.08]","2.61 [1.57, 4.96]","0.030","nonnorm"
"ldl (median [IQR])","","114.00 [92.00, 140.00]","109.00 [85.00, 135.00]","0.103","nonnorm"
"hdl (median [IQR])","","56.00 [47.00, 68.00]","54.00 [44.00, 67.35]","0.037","nonnorm"
"tc (median [IQR])","","197.00 [172.00, 224.00]","194.00 [165.00, 228.00]","0.307","nonnorm"
"tg (median [IQR])","","99.00 [68.00, 146.00]","117.00 [79.00, 172.00]","<0.001","nonnorm"
"parity (median [IQR])","","3.00 [2.00, 4.00]","3.00 [2.00, 5.00]","<0.001","nonnorm"
"age_group (%)","20-39","2e+07 (28.6)","2e+05 (3.2)","<0.001",""
"","40-59","3e+07 (43.4)","9e+05 (17.0)","",""
"",">=60","2e+07 (28.0)","4e+06 (79.8)","",""
"race (%)","Non-Hispanic White","5e+07 (67.5)","4e+06 (78.7)","<0.001",""
"","Non-Hispanic Black","9e+06 (11.7)","6e+05 (12.1)","",""
"","Mexican American","6e+06 (8.2)","2e+05 (3.1)","",""
"","Other Hispanic","4e+06 (5.7)","1e+05 (2.4)","",""
"","Other Race","5e+06 (7.0)","2e+05 (3.7)","",""
"education (%)","Less than HS","1e+07 (14.9)","2e+06 (29.8)","<0.001",""
"","High school","2e+07 (23.5)","1e+06 (27.2)","",""
"","College or above","5e+07 (61.6)","2e+06 (43.0)","",""
"marital (%)","Married or partnered","5e+07 (66.2)","2e+06 (39.7)","<0.001",""
"","Not married","3e+07 (33.8)","3e+06 (60.3)","",""
"pir_group (%)","<=1.3","2e+07 (23.7)","2e+06 (34.1)","<0.001",""
"","1.3-3.5","3e+07 (35.0)","2e+06 (44.7)","",""
"",">3.5","3e+07 (41.3)","1e+06 (21.2)","",""
"bmi_cat (%)","<25","2e+07 (29.3)","2e+06 (31.1)","0.346",""
"","25-29.9","2e+07 (29.6)","2e+06 (30.9)","",""
"",">=30","3e+07 (41.1)","2e+06 (37.9)","",""
"smoke_status (%)","Never","5e+07 (59.7)","2e+06 (46.8)","<0.001",""
"","Ever","3e+07 (40.3)","3e+06 (53.2)","",""
"alcohol_any (%)","No","2e+07 (26.1)","2e+06 (42.5)","<0.001",""
"","Yes","6e+07 (73.9)","3e+06 (57.5)","",""
"DII_Q (%)","Q1","2e+07 (27.9)","1e+06 (18.8)","<0.001",""
"","Q2","2e+07 (25.5)","1e+06 (26.0)","",""
"","Q3","2e+07 (24.7)","1e+06 (26.4)","",""
"","Q4","2e+07 (22.0)","2e+06 (28.9)","",""
"sleep_disorder (%)","0","6e+07 (75.5)","4e+06 (71.6)","0.059",""
"","1","2e+07 (24.5)","1e+06 (28.4)","",""
"diabetes (%)","0","7e+07 (88.1)","4e+06 (66.9)","<0.001",""
"","1","9e+06 (11.9)","2e+06 (33.1)","",""
"hypertension (%)","0","5e+07 (66.3)","2e+06 (31.1)","<0.001",""
"","1","3e+07 (33.7)","4e+06 (68.9)","",""
"cvd_chf (%)","0","8e+07 (98.4)","5e+06 (85.7)","<0.001",""
"","1","1e+06 (1.6)","8e+05 (14.3)","",""
"cvd_chd (%)","0","7e+07 (97.9)","5e+06 (88.5)","<0.001",""
"","1","2e+06 (2.1)","6e+05 (11.5)","",""
"cvd_angina (%)","0","7e+07 (98.2)","5e+06 (93.1)","<0.001",""
"","1","1e+06 (1.8)","4e+05 (6.9)","",""
"cvd_mi (%)","0","7e+07 (97.9)","5e+06 (89.5)","<0.001",""
"","1","2e+06 (2.1)","6e+05 (10.5)","",""
"cvd_stroke (%)","0","7e+07 (97.2)","5e+06 (85.8)","<0.001",""
"","1","2e+06 (2.8)","7e+05 (14.2)","",""
"cvd_composite (%)","0","7e+07 (93.0)","4e+06 (67.4)","<0.001",""
"","1","5e+06 (7.0)","2e+06 (32.6)","",""
