"term","estimate","std.error","robust.se","statistic","p.value","conf.low","conf.high","outcome","exposure","model","exposure_label","outcome_label"
"DII",1.11675320247773,0.0206688382868371,0.0222399733769305,4.96518350318816,6.86361407240415e-07,1.06912013032607,1.16650849597595,"mort_allcause","DII","Crude","DII_cont","all_cause"
"DII",1.124715309282,0.021194286425668,0.0238403501967088,4.92987494923297,8.22822691869604e-07,1.07337052128863,1.1785161804282,"mort_allcause","DII","M1","DII_cont","all_cause"
"DII",1.07917410176157,0.0214546480652715,0.0253180112834384,3.00955818148674,0.00261627964118992,1.02692986525272,1.13407622206634,"mort_allcause","DII","M2","DII_cont","all_cause"
"DII",1.05458139964045,0.0316729203366519,0.0340214530902832,1.56207056935381,0.118271365190399,0.986554299795772,1.12729925630838,"mort_allcause","DII","M3","DII_cont","all_cause"
"DII_QQ2",1.38718276285573,0.113930751792173,0.121260875500358,2.69893236184214,0.00695623127943237,1.09374539937894,1.75934547350482,"mort_allcause","DII_Q","Crude","DII_Q","all_cause"
"DII_QQ3",1.48986809802234,0.113562288864934,0.138570393205628,2.87714844418444,0.00401286772365667,1.13552444604696,1.95478570032733,"mort_allcause","DII_Q","Crude","DII_Q","all_cause"
"DII_QQ4",1.75509526429228,0.111482257087967,0.118239351000034,4.7574951345301,1.96009979735284e-06,1.39205109522338,2.21282063374757,"mort_allcause","DII_Q","Crude","DII_Q","all_cause"
"DII_QQ2",1.39777023590252,0.11400658361582,0.117056846598503,2.86081752613669,0.0042255017959955,1.11121173696575,1.75822623842139,"mort_allcause","DII_Q","M1","DII_Q","all_cause"
"DII_QQ3",1.50826360456478,0.113765922199378,0.131062875387584,3.13558707743943,0.00171510503060425,1.166584843153,1.95001599258426,"mort_allcause","DII_Q","M1","DII_Q","all_cause"
"DII_QQ4",1.80374757875458,0.112015235520995,0.126309796649636,4.66999792899228,3.01202772076075e-06,1.40818809137396,2.31041957235171,"mort_allcause","DII_Q","M1","DII_Q","all_cause"
"DII_QQ2",1.34925484798232,0.114279623813471,0.120173155590532,2.49267379334709,0.0126785266555395,1.06611096890781,1.70759770595816,"mort_allcause","DII_Q","M2","DII_Q","all_cause"
"DII_QQ3",1.3403622871145,0.114949469513494,0.13528895647738,2.1652908601483,0.03036541786915,1.0281678775787,1.74735186723561,"mort_allcause","DII_Q","M2","DII_Q","all_cause"
"DII_QQ4",1.51064129717888,0.113437189045211,0.137641218756831,2.99717093841303,0.00272497868757191,1.15345574174903,1.9784349291824,"mort_allcause","DII_Q","M2","DII_Q","all_cause"
"DII_QQ2",1.33194238083224,0.172080118223499,0.191898666749056,1.49369622210007,0.135255036431776,0.914410062607874,1.94012574708272,"mort_allcause","DII_Q","M3","DII_Q","all_cause"
"DII_QQ3",1.40624685436918,0.168705272713133,0.17860461492905,1.90882161813396,0.0562851070991166,0.990907327989003,1.99567624495875,"mort_allcause","DII_Q","M3","DII_Q","all_cause"
"DII_QQ4",1.35073920269281,0.171942434189986,0.196019858631662,1.53378337401305,0.125082954528503,0.91985441775883,1.98346212016515,"mort_allcause","DII_Q","M3","DII_Q","all_cause"
"sleep_score",1.1019842657684,0.0339689333704377,0.0367628439544226,2.64159195251801,0.00825174044167331,1.02537518793174,1.18431705418053,"mort_allcause","sleep_score","Crude","sleep_score","all_cause"
"sleep_score",1.15162546055821,0.035098169318712,0.0407207612541105,3.46688971471345,0.000526517868936803,1.06328498972438,1.24730548650903,"mort_allcause","sleep_score","M1","sleep_score","all_cause"
"sleep_score",1.09529506362168,0.0354508555711632,0.0442512160101158,2.0569783086481,0.0396883124353252,1.0043022299452,1.19453212451741,"mort_allcause","sleep_score","M2","sleep_score","all_cause"
"sleep_score",1.08119906301307,0.0567309458775978,0.0785168355633803,0.994317565678942,0.320068286569383,0.926983510980452,1.26107034269025,"mort_allcause","sleep_score","M3","sleep_score","all_cause"
"sleep_disorder",1.3742461398002,0.0837321734438802,0.0946764134744944,3.35780905864308,0.000785628621023541,1.1414997388492,1.65444843172692,"mort_allcause","sleep_disorder","Crude","sleep_disorder","all_cause"
"sleep_disorder",1.47575316622146,0.0838544862273927,0.0913718225524746,4.25917388714395,2.05183810712368e-05,1.23378045853722,1.7651822838844,"mort_allcause","sleep_disorder","M1","sleep_disorder","all_cause"
"sleep_disorder",1.33171060979852,0.0851401424159058,0.100134718866384,2.86078886370139,0.00422588380869676,1.09439734951581,1.6204837749603,"mort_allcause","sleep_disorder","M2","sleep_disorder","all_cause"
"sleep_disorder",1.29782428621505,0.127420995386744,0.169059582188913,1.54199621829898,0.123074512570037,0.931777286412816,1.80767217923294,"mort_allcause","sleep_disorder","M3","sleep_disorder","all_cause"
"DII",1.08729076030313,0.0400717431106041,0.0376930171033266,2.22028024236539,0.0263997502515725,1.00986040169663,1.17065803892735,"mort_cvd","DII","Crude","DII_cont","cvd"
"DII",1.07734445861491,0.0410810782198098,0.0366725063815197,2.03147223827575,0.042207112955413,1.00262582835558,1.15763134130693,"mort_cvd","DII","M1","DII_cont","cvd"
"DII",1.03484374003554,0.0418412567304951,0.0398517241086857,0.859446868969935,0.390094021030248,0.957090328853594,1.11891378901871,"mort_cvd","DII","M2","DII_cont","cvd"
"DII",1.04424186758712,0.062471097364647,0.0638698790550242,0.677802075136467,0.497897195156481,0.921371898095042,1.18349721787299,"mort_cvd","DII","M3","DII_cont","cvd"
"DII_QQ2",1.20313128425173,0.219325237620216,0.203608411486867,0.908251090434273,0.363745576730905,0.807237308220318,1.79318382885018,"mort_cvd","DII_Q","Crude","DII_Q","cvd"
"DII_QQ3",1.42653152541868,0.214024212071567,0.202781992803687,1.75186162416785,0.0797976047226347,0.958678590124775,2.12270537172264,"mort_cvd","DII_Q","Crude","DII_Q","cvd"
"DII_QQ4",1.40081419060195,0.218115203173431,0.218716754046511,1.5410508159882,0.123304418881448,0.912448778316323,2.15056498865903,"mort_cvd","DII_Q","Crude","DII_Q","cvd"
"DII_QQ2",1.17812246083059,0.21952643982399,0.187251487295086,0.875411131610581,0.381350245124282,0.816209566939713,1.70051000249552,"mort_cvd","DII_Q","M1","DII_Q","cvd"
"DII_QQ3",1.37334422948809,0.214600513677387,0.189132422839954,1.67738986257042,0.0934662704104701,0.947959093172558,1.98961578221278,"mort_cvd","DII_Q","M1","DII_Q","cvd"
"DII_QQ4",1.34032958198982,0.219388182762063,0.213353628045706,1.37291098872947,0.169780020005348,0.882276406063086,2.03619112560577,"mort_cvd","DII_Q","M1","DII_Q","cvd"
"DII_QQ2",1.13891638676355,0.219956063285833,0.186549369013343,0.697280688324044,0.485627151217258,0.790133964822452,1.64165900187574,"mort_cvd","DII_Q","M2","DII_Q","cvd"
"DII_QQ3",1.18923814255317,0.217961153748651,0.203693364946801,0.850851895940929,0.394851629348884,0.797782900202601,1.77277221577971,"mort_cvd","DII_Q","M2","DII_Q","cvd"
