"term","estimate","std.error","statistic","p.value","conf.low","conf.high","outcome","exposure","model","exposure_label","q.value"
"DII",1.17161738723003,0.0236767716853155,6.68947517642791,1.65377402924227e-09,1.11780596059816,1.22801930786374,"cvd_composite","DII","Crude","DII_cont",NA
"DII",1.19556544807548,0.0250224297118345,7.13836561168496,2.56406954120391e-10,1.13756775034936,1.25652009754404,"cvd_composite","DII","M1","DII_cont",NA
"DII",1.13004322314839,0.0254236036190658,4.80875506078245,6.90510569606423e-06,1.07430171830373,1.18867694654712,"cvd_composite","DII","M2","DII_cont",NA
"DII",1.09271874503379,0.0410233988119922,2.16142140340405,0.0338116909520365,1.00698797521071,1.18574827618807,"cvd_composite","DII","M3","DII_cont",NA
"DII_QQ2",1.42219741234659,0.150904771223158,2.33394309628922,0.02180056475203,1.05384919269011,1.91929309593361,"cvd_composite","DII_Q","Crude","DII_Q",NA
"DII_QQ3",1.74460409785491,0.132091130397474,4.2132098515542,5.91739463186287e-05,1.34197827268754,2.26802737436032,"cvd_composite","DII_Q","Crude","DII_Q",NA
"DII_QQ4",2.16085937366148,0.131185353973501,5.87341480897133,6.89691534364049e-08,1.66516199104841,2.80411951380226,"cvd_composite","DII_Q","Crude","DII_Q",4.13814920618429e-07
"DII_QQ2",1.45604779534262,0.150955672693401,2.48898083128295,0.0147374416299219,1.07856972025439,1.96563573268315,"cvd_composite","DII_Q","M1","DII_Q",NA
"DII_QQ3",1.81896804262825,0.130541717254594,4.58297426535523,1.54158493493207e-05,1.40320791831602,2.35791481569853,"cvd_composite","DII_Q","M1","DII_Q",NA
"DII_QQ4",2.36095794624502,0.138019738164583,6.22423616743876,1.70614207858955e-08,1.79444052383606,3.10632888072624,"cvd_composite","DII_Q","M1","DII_Q",1.02368524715373e-07
"DII_QQ2",1.32362940134759,0.161571752023731,1.73531267980708,0.0865848410044257,0.959615094837007,1.82572658718897,"cvd_composite","DII_Q","M2","DII_Q",NA
"DII_QQ3",1.49921953757827,0.136213285894121,2.97287200555788,0.00390978076355416,1.14318577095489,1.96613645740092,"cvd_composite","DII_Q","M2","DII_Q",NA
"DII_QQ4",1.82101370205165,0.140575432654295,4.26385545372417,5.51829817670679e-05,1.37655627261087,2.40897591260133,"cvd_composite","DII_Q","M2","DII_Q",0.000331097890602408
"DII_QQ2",1.30243266348528,0.227040690760745,1.16381691107289,0.248236975638199,0.828486566816397,2.0475055491024,"cvd_composite","DII_Q","M3","DII_Q",NA
"DII_QQ3",1.39530338453854,0.233636705492399,1.4257685704046,0.158140006683263,0.875973511794482,2.22252329401655,"cvd_composite","DII_Q","M3","DII_Q",NA
"DII_QQ4",1.58044372593133,0.212821360865462,2.15065651749742,0.0347693129906749,1.0342223881902,2.41515016437291,"cvd_composite","DII_Q","M3","DII_Q",0.0695386259813498
"sleep_score",1.45377277550222,0.0332233468354764,11.2620228571913,4.56870881646546e-19,1.36095561219836,1.55292006869904,"cvd_composite","sleep_score","Crude","sleep_score",2.74122528987928e-18
"sleep_score",1.50692186206498,0.0327686576591101,12.5140636694966,3.0735389071587e-21,1.4119168469289,1.60831957158716,"cvd_composite","sleep_score","M1","sleep_score",1.84412334429522e-20
"sleep_score",1.3914975079556,0.035820799536237,9.22314731537249,2.87736646609594e-14,1.29577420231828,1.49429222404835,"cvd_composite","sleep_score","M2","sleep_score",1.72641987965756e-13
"sleep_score",1.28427571839353,0.0484115316242893,5.16808511882634,1.85233939967018e-06,1.16622844960256,1.41427189622865,"cvd_composite","sleep_score","M3","sleep_score",1.11140363980211e-05
