"outcome","exposure_label","model","term","estimate","conf.low","conf.high","p.value","q.value"
"cvd_angina","DII_Q","Crude","DII_QQ4",2.44611741421144,1.43994438237113,4.15536216354105,0.00116579324138638,0.00174868986207956
"cvd_chd","DII_Q","Crude","DII_QQ4",1.46361795380864,0.899422430961957,2.38172569525519,0.123670440472282,0.123670440472282
"cvd_chf","DII_Q","Crude","DII_QQ4",2.8059365851631,1.8745962976661,4.19998702107707,1.98919480239653e-06,5.96758440718959e-06
"cvd_composite","DII_Q","Crude","DII_QQ4",2.16085937366148,1.66516199104841,2.80411951380226,6.89691534364049e-08,4.13814920618429e-07
"cvd_mi","DII_Q","Crude","DII_QQ4",2.12911902813827,1.29604578156723,3.49767569977256,0.00324062013919011,0.00388874416702814
"cvd_stroke","DII_Q","Crude","DII_QQ4",2.26471508032012,1.6075213719632,3.19058550914668,7.94095420434225e-06,1.58819084086845e-05
"cvd_angina","DII_Q","M1","DII_QQ4",2.55656523257858,1.49294521154718,4.37794082319744,0.000818707098910166,0.00122806064836525
"cvd_chd","DII_Q","M1","DII_QQ4",1.59672551892738,0.983827199666412,2.59144327749669,0.0580446583978612,0.0580446583978612
"cvd_chf","DII_Q","M1","DII_QQ4",2.81065843106287,1.8646308108082,4.23665680643811,2.91779546970062e-06,8.75338640910186e-06
"cvd_composite","DII_Q","M1","DII_QQ4",2.36095794624502,1.79444052383606,3.10632888072624,1.70614207858955e-08,1.02368524715373e-07
"cvd_mi","DII_Q","M1","DII_QQ4",2.22036735056085,1.34555786904323,3.66393098718387,0.00213865385484718,0.00256638462581662
"cvd_stroke","DII_Q","M1","DII_QQ4",2.35386170442921,1.64704865233685,3.36399590608162,7.57716415731704e-06,1.51543283146341e-05
"cvd_angina","DII_Q","M2","DII_QQ4",1.91979731921475,1.13326430623124,3.25221726882141,0.0159588924470476,0.0239383386705713
"cvd_chd","DII_Q","M2","DII_QQ4",1.26187761176197,0.780995195310874,2.03885390925135,0.337504375811076,0.337504375811076
"cvd_chf","DII_Q","M2","DII_QQ4",2.00975594697101,1.33059577802951,3.03557175896568,0.00116841993514215,0.00245003892372899
"cvd_composite","DII_Q","M2","DII_QQ4",1.82101370205165,1.37655627261087,2.40897591260133,5.51829817670679e-05,0.000331097890602408
"cvd_mi","DII_Q","M2","DII_QQ4",1.70769297362837,1.03275850597547,2.82371461992971,0.0373169664415925,0.044780359729911
"cvd_stroke","DII_Q","M2","DII_QQ4",1.87983383698345,1.29255084791904,2.73395453676514,0.00122501946186449,0.00245003892372899
"cvd_angina","DII_Q","M3","DII_QQ4",2.67892511953436,1.17151793540798,6.12593250104443,0.0201973954962401,0.0695386259813498
"cvd_chd","DII_Q","M3","DII_QQ4",0.937042663713832,0.498455286556585,1.76154005645246,0.837926551877859,0.837926551877859
"cvd_chf","DII_Q","M3","DII_QQ4",1.92761158189417,1.0637243646098,3.49309138182199,0.0309591577232681,0.0695386259813498
"cvd_composite","DII_Q","M3","DII_QQ4",1.58044372593133,1.0342223881902,2.41515016437291,0.0347693129906749,0.0695386259813498
"cvd_mi","DII_Q","M3","DII_QQ4",1.76795707975695,0.906403482137666,3.44843361423451,0.0934331291612605,0.12843020878097
"cvd_stroke","DII_Q","M3","DII_QQ4",1.63382478643673,0.897067402372972,2.97567766448075,0.107025173984141,0.12843020878097
"cvd_angina","sleep_disorder","Crude","sleep_disorder",3.00605112403254,2.16298744094773,4.17771420639315,2.07244608828932e-09,3.10866913243398e-09
"cvd_chd","sleep_disorder","Crude","sleep_disorder",1.98836497983082,1.40911050857173,2.80573827884158,0.000144785347602401,0.000144785347602401
"cvd_chf","sleep_disorder","Crude","sleep_disorder",2.30802532375976,1.80137931774129,2.95716778951129,1.56419709175234e-09,3.10866913243398e-09
"cvd_composite","sleep_disorder","Crude","sleep_disorder",2.315347535989,1.93755166763054,2.76680839121372,4.64067930446349e-15,2.78440758267809e-14
"cvd_mi","sleep_disorder","Crude","sleep_disorder",2.09212907029686,1.60598952657071,2.72542502573317,2.75904219930914e-07,3.31085063917097e-07
"cvd_stroke","sleep_disorder","Crude","sleep_disorder",2.26921985035268,1.78962104847183,2.87734586807175,7.74111470200654e-10,2.32233441060196e-09
"cvd_angina","sleep_disorder","M1","sleep_disorder",2.94036657002191,2.10659386942321,4.1041397165319,6.47619551437203e-09,9.71429327155804e-09
"cvd_chd","sleep_disorder","M1","sleep_disorder",2.01335542728507,1.43358881141331,2.82758908573091,9.35518514516007e-05,9.35518514516007e-05
"cvd_chf","sleep_disorder","M1","sleep_disorder",2.31932872183794,1.81823087923829,2.95852731430672,8.83658760616867e-10,2.6509762818506e-09
"cvd_composite","sleep_disorder","M1","sleep_disorder",2.41027987505876,1.9948402438112,2.91223775645017,1.30564513044791e-14,7.83387078268749e-14
"cvd_mi","sleep_disorder","M1","sleep_disorder",2.06077157123453,1.58992717612236,2.67105282090077,3.10792550015749e-07,3.72951060018899e-07
"cvd_stroke","sleep_disorder","M1","sleep_disorder",2.26292732994883,1.77846227944307,2.87936390882181,1.60865509369827e-09,3.21731018739654e-09
"cvd_angina","sleep_disorder","M2","sleep_disorder",2.36834724918349,1.64530955351189,3.40912667816372,1.01378997893908e-05,2.02757995787816e-05
"cvd_chd","sleep_disorder","M2","sleep_disorder",1.78278584902337,1.27355760094338,2.49562750921016,0.000982968851865938,0.000982968851865938
"cvd_chf","sleep_disorder","M2","sleep_disorder",1.77901744500874,1.33671201008931,2.36767758930659,0.000134509273496268,0.000201763910244401
"cvd_composite","sleep_disorder","M2","sleep_disorder",1.98231271613095,1.63628797634171,2.4015110795594,4.37634741065642e-10,2.62580844639385e-09
"cvd_mi","sleep_disorder","M2","sleep_disorder",1.66496297267981,1.26794027107873,2.18630306460441,0.000361566750529423,0.000433880100635308
"cvd_stroke","sleep_disorder","M2","sleep_disorder",1.99051789141585,1.54946921374902,2.55710887372841,4.91471791314627e-07,1.47441537394388e-06
"cvd_angina","sleep_disorder","M3","sleep_disorder",1.85990520743332,1.15912180512442,2.98436917099171,0.0107955148653638,0.0323865445960915
"cvd_chd","sleep_disorder","M3","sleep_disorder",1.24120013004458,0.780672219299751,1.9733989819755,0.356273984401873,0.427528781282247
"cvd_chf","sleep_disorder","M3","sleep_disorder",1.66747232409075,1.0751050425277,2.58622538414611,0.023009845552592,0.034514768328888
"cvd_composite","sleep_disorder","M3","sleep_disorder",1.60966100837692,1.24913132648794,2.07424832517321,0.000356162425788422,0.00213697455473053
"cvd_mi","sleep_disorder","M3","sleep_disorder",1.05844364637386,0.671471243586749,1.66843027642547,0.804353711618874,0.804353711618874
"cvd_stroke","sleep_disorder","M3","sleep_disorder",1.5591761337494,1.0809003221584,2.24907900036453,0.0181582371832476,0.034514768328888
"cvd_angina","sleep_score","Crude","sleep_score",1.62447490922853,1.41810817981238,1.86087265293271,2.54670814398289e-10,5.09341628796578e-10
"cvd_chd","sleep_score","Crude","sleep_score",1.37568227442221,1.19173852432613,1.58801757393015,2.74640452239684e-05,2.74640452239684e-05
"cvd_chf","sleep_score","Crude","sleep_score",1.34416946709888,1.23132543899507,1.46735501359858,1.58683029186614e-09,2.38024543779921e-09
"cvd_composite","sleep_score","Crude","sleep_score",1.45377277550222,1.36095561219836,1.55292006869904,4.56870881646546e-19,2.74122528987928e-18
"cvd_mi","sleep_score","Crude","sleep_score",1.4275569886019,1.27127831621681,1.60304705091702,2.44016470235304e-08,2.92819764282364e-08
"cvd_stroke","sleep_score","Crude","sleep_score",1.45234130621847,1.34225691308347,1.57145420462232,3.77952160573664e-15,1.13385648172099e-14
"cvd_angina","sleep_score","M1","sleep_score",1.64904448332216,1.43237504776534,1.89848860619132,3.73105257927541e-10,5.59657886891312e-10
"cvd_chd","sleep_score","M1","sleep_score",1.42869510818486,1.22544286343639,1.6656588185821,1.30402998837397e-05,1.30402998837397e-05
"cvd_chf","sleep_score","M1","sleep_score",1.36756295262491,1.25646310616101,1.48848654625955,1.00114922107216e-10,2.00229844214432e-10
