"term","estimate","std.error","robust.se","statistic","p.value","conf.low","conf.high","subgroup_var","subgroup_level","outcome","exposure"
"DII",0.955876904040331,0.118062174925779,0.175708955287335,-0.256823197266751,0.797315261723602,0.677389147318494,1.34885635427537,"age_group","20-39","mort_allcause","DII"
"DII",1.04252829041601,0.0540655075283696,0.055952239940402,0.744363611835247,0.456656526858205,0.93424593311707,1.16336095003533,"age_group","40-59","mort_allcause","DII"
"DII",1.08671510661882,0.0225138507413589,0.0293114246598372,2.83710134615293,0.00455251589239155,1.02604350223739,1.15097432065831,"age_group",">=60","mort_allcause","DII"
"DII",1.10150550988574,0.0311019156811607,0.0286052901000892,3.37972064171968,0.000725595403678849,1.04144851923089,1.16502579427035,"race","Non-Hispanic White","mort_allcause","DII"
"DII",0.99936513446766,0.0447927616458099,0.0458377723606203,-0.0138546685864475,0.988945927482561,0.913496759876894,1.09330510611133,"race","Non-Hispanic Black","mort_allcause","DII"
"DII",0.965127367588278,0.0841234796380471,0.0775355753657901,-0.457792426858501,0.647101577163454,0.829060510416511,1.1235257547123,"race","Mexican American","mort_allcause","DII"
"DII",1.1342951118526,0.106802299601034,0.103586907128354,1.21648010034567,0.223802087055813,0.925875783832415,1.38963068614567,"race","Other Hispanic","mort_allcause","DII"
"DII",0.97344980360119,0.0813550659197045,0.115074147699123,-0.233840691855578,0.815108657678589,0.776894898635891,1.21973322491246,"race","Other Race","mort_allcause","DII"
"DII",1.02729860483294,0.0335689367836751,0.0488146906437374,0.55173233288619,0.581131754196177,0.933567143067297,1.13044083795013,"education","Less than HS","mort_allcause","DII"
"DII",1.05769415615812,0.0420887343759914,0.0581494075822934,0.964605085796331,0.334742651107308,0.943763635516653,1.18537829374896,"education","High school","mort_allcause","DII"
"DII",1.10953954521134,0.0336709603758085,0.0336954700655816,3.08483914676588,0.00203662266128143,1.03863068581575,1.18528945774493,"education","College or above","mort_allcause","DII"
"DII",1.00810982138635,0.0303157965531782,0.0402483433824175,0.20068188709987,0.840947323589049,0.931640573002208,1.09085568128559,"pir_group","<=1.3","mort_allcause","DII"
"DII",1.09786753040232,0.0319969221055912,0.0295910370166621,3.15533685056701,0.0016031289831985,1.03600536534396,1.16342362176041,"pir_group","1.3-3.5","mort_allcause","DII"
"DII",1.13223325568257,0.0553254821635441,0.0449802983899334,2.76103136832012,0.00576191419746102,1.03668927913221,1.23658281326749,"pir_group",">3.5","mort_allcause","DII"
"DII",1.07613935823332,0.0381393662464845,0.0354967870070312,2.06722846283049,0.0387126314002175,1.00381480224492,1.15367487682879,"bmi_cat","<25","mort_allcause","DII"
"DII",1.10648509568568,0.0395101873502143,0.0456416035049344,2.2170213766663,0.0266216307950314,1.0118016074416,1.2100289799601,"bmi_cat","25-29.9","mort_allcause","DII"
"DII",1.0693044127307,0.0346458438686441,0.039152294930485,1.71147963709555,0.0869926070724052,0.990318438565495,1.15459016267698,"bmi_cat",">=30","mort_allcause","DII"
"DII",1.08410073594978,0.0307779291016937,0.0365600640811027,2.20871682181903,0.0271943436353537,1.00913589955566,1.16463442258307,"smoke_status","Never","mort_allcause","DII"
"DII",1.06271503995703,0.030434008832112,0.0312478058860033,1.94660041437568,0.051582658900129,0.999582504928891,1.12983495667645,"smoke_status","Ever","mort_allcause","DII"
"DII",1.05468403711177,0.0286361558818642,0.0331077951778088,1.60811769241732,0.107809405027837,0.988418730252708,1.12539188513151,"alcohol_any","No","mort_allcause","DII"
"DII",1.0953921668273,0.0301814338034906,0.0321665359440742,2.83252267294743,0.00461822908925173,1.02846478507461,1.1666748502814,"alcohol_any","Yes","mort_allcause","DII"
"DII",1.07043859853588,0.0263811592140069,0.0310855231711904,2.18971607087004,0.028544834826144,1.00716752845108,1.13768440787367,"diabetes","0","mort_allcause","DII"
"DII",1.08929344102675,0.0345991226753851,0.0434755568202712,1.96729548900747,0.04914915481264,1.00031879204244,1.18618205526379,"diabetes","1","mort_allcause","DII"
"DII",1.05540635691051,0.0380726771053727,0.0386816759544169,1.39409329778629,0.163289432830279,0.9783489954512,1.13853296051416,"hypertension","0","mort_allcause","DII"
"DII",1.08847561174949,0.0250228716159191,0.0338607723715069,2.50372895031676,0.0122892140706097,1.01858285329818,1.16316424681321,"hypertension","1","mort_allcause","DII"
"DII",1.08018038490845,0.396212419409336,0.218168971334721,0.353524379662495,0.723695354888561,0.7043532478839,1.65654047517546,"age_group","20-39","mort_cvd","DII"
"DII",0.901315432324193,0.138717235477209,0.154467784568888,-0.672632106180976,0.50118137076923,0.665876350360299,1.22000054230216,"age_group","40-59","mort_cvd","DII"
"DII",1.04801919824214,0.0416049670560311,0.047226685462088,0.993122938980093,0.320650046403454,0.95536606486709,1.1496580005036,"age_group",">=60","mort_cvd","DII"
"DII",1.03755174474877,0.0609583425730583,0.0486192443212268,0.758215123462456,0.448322208953711,0.943246037083267,1.14128613395508,"race","Non-Hispanic White","mort_cvd","DII"
"DII",1.04411997491358,0.082872217363147,0.0703543028784332,0.61367108465307,0.539432699607251,0.909629870029904,1.19849463823972,"race","Non-Hispanic Black","mort_cvd","DII"
"DII",1.10357467627742,0.189938243310222,0.154087337132638,0.639602309075089,0.522431180909794,0.81591017100997,1.49266072343878,"race","Mexican American","mort_cvd","DII"
"DII",1.20597078177763,0.225971597839158,0.226049442332936,0.828512862924613,0.407380113366477,0.774324769108214,1.87823712287589,"race","Other Hispanic","mort_cvd","DII"
"DII",0.893437618276801,0.168876651818358,0.232980994687611,-0.483639295267971,0.628641881967666,0.565914018694883,1.4105159995736,"race","Other Race","mort_cvd","DII"
"DII",0.872626966963985,0.0553077932090291,0.0661576813303061,-2.05943001443506,0.0394530629540596,0.766505207116727,0.993441161785614,"education","Less than HS","mort_cvd","DII"
"DII",1.14541863234623,0.0915194163847507,0.0858674363620852,1.58116037587788,0.113841372770506,0.967996415449429,1.35536022901156,"education","High school","mort_cvd","DII"
"DII",1.13043061877966,0.0710541612800317,0.0581139708368223,2.10962419075731,0.0348907389794712,1.00873528068716,1.26680746509041,"education","College or above","mort_cvd","DII"
