"exposure","outcome","subgroup_var","p_interaction"
"DII","mort_allcause","age_group",0.567424843059883
"DII","mort_allcause","race",0.0349434291169794
"DII","mort_allcause","education",0.0997682140905719
"DII","mort_allcause","pir_group",0.0150139057709815
"DII","mort_allcause","bmi_cat",0.64247694755269
"DII","mort_allcause","smoke_status",0.616605592520552
"DII","mort_allcause","alcohol_any",0.160875439871814
"DII","mort_allcause","diabetes",0.942958264147984
"DII","mort_allcause","hypertension",0.758509450499721
"DII","mort_cvd","age_group",0.470472396947679
"DII","mort_cvd","race",0.548057916977268
"DII","mort_cvd","education",0.00368808003270158
"DII","mort_cvd","pir_group",0.154867971691531
"DII","mort_cvd","bmi_cat",0.519752826580718
"DII","mort_cvd","smoke_status",0.155524245473745
"DII","mort_cvd","alcohol_any",0.216211734608605
"DII","mort_cvd","diabetes",0.493081936327105
"DII","mort_cvd","hypertension",0.245457108889168
"sleep_disorder","mort_allcause","age_group",0.236473129752311
"sleep_disorder","mort_allcause","race",0.156653039602736
"sleep_disorder","mort_allcause","education",0.0534911050506727
"sleep_disorder","mort_allcause","pir_group",0.354046177951261
"sleep_disorder","mort_allcause","bmi_cat",0.43393232271946
"sleep_disorder","mort_allcause","smoke_status",0.186185128425904
"sleep_disorder","mort_allcause","alcohol_any",0.370743767863211
"sleep_disorder","mort_allcause","diabetes",0.348618465975024
"sleep_disorder","mort_allcause","hypertension",0.10690250249778
"sleep_disorder","mort_cvd","age_group",0.432232874355068
"sleep_disorder","mort_cvd","race",0.0273344611269737
"sleep_disorder","mort_cvd","education",0.0228289316751125
"sleep_disorder","mort_cvd","pir_group",0.623908039830157
"sleep_disorder","mort_cvd","bmi_cat",0.685866352644009
"sleep_disorder","mort_cvd","smoke_status",0.477309753455973
"sleep_disorder","mort_cvd","alcohol_any",0.887835887065882
"sleep_disorder","mort_cvd","diabetes",0.846126356193363
"sleep_disorder","mort_cvd","hypertension",0.859060187482188
